18:00:31.301 INFO  manager.ApplicationManager - All tests rus in Chrome Browser
18:00:39.151 INFO  manager.ApplicationManager - The link--->https://ilcarro.web.app/search
18:00:39.207 INFO  manager.ListenerWD - Before find element By.xpath: //*[text()=' Logout ']
18:00:49.262 INFO  manager.ListenerWD - Element found success By.xpath: //*[text()=' Logout ']
18:00:49.265 INFO  tests.TestBase - Start success registration test
18:00:49.265 INFO  tests.TestBase - test data---> first name-'Vitaly', last name-'Dolgopiat', email-'vitaly+z+@gmail.com', password-'1978Vit@lik'
18:00:49.268 INFO  manager.ListenerWD - Before find element By.xpath: //a[text()=' Sign up ']
18:00:49.301 INFO  manager.ListenerWD - Element found success By.xpath: //a[text()=' Sign up ']
18:00:49.317 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (90dcc1a7fec8b1f671efb3f8ff07763c)] -> xpath: //a[text()=' Sign up ']]
18:00:49.419 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (90dcc1a7fec8b1f671efb3f8ff07763c)] -> xpath: //a[text()=' Sign up ']]
18:00:49.420 INFO  manager.ListenerWD - Before find element By.id: name
18:00:49.456 INFO  manager.ListenerWD - Element found success By.id: name
18:00:49.456 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (90dcc1a7fec8b1f671efb3f8ff07763c)] -> id: name]
18:00:49.562 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (90dcc1a7fec8b1f671efb3f8ff07763c)] -> id: name]
18:00:49.926 INFO  manager.ListenerWD - Before find element By.id: lastName
18:00:49.950 INFO  manager.ListenerWD - Element found success By.id: lastName
18:00:49.951 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (90dcc1a7fec8b1f671efb3f8ff07763c)] -> id: lastName]
18:00:50.038 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (90dcc1a7fec8b1f671efb3f8ff07763c)] -> id: lastName]
18:00:50.410 INFO  manager.ListenerWD - Before find element By.id: email
18:00:50.432 INFO  manager.ListenerWD - Element found success By.id: email
18:00:50.433 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (90dcc1a7fec8b1f671efb3f8ff07763c)] -> id: email]
18:00:50.529 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (90dcc1a7fec8b1f671efb3f8ff07763c)] -> id: email]
18:00:50.941 INFO  manager.ListenerWD - Before find element By.id: password
18:00:50.965 INFO  manager.ListenerWD - Element found success By.id: password
18:00:50.966 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (90dcc1a7fec8b1f671efb3f8ff07763c)] -> id: password]
18:00:51.037 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (90dcc1a7fec8b1f671efb3f8ff07763c)] -> id: password]
18:00:51.294 INFO  manager.ListenerWD - Before find element By.id: terms-of-use
18:00:51.325 INFO  manager.ListenerWD - Element found success By.id: terms-of-use
18:00:51.342 INFO  manager.ListenerWD - Before find element By.cssSelector: label[for='terms-of-use']
18:00:51.373 INFO  manager.ListenerWD - Element found success By.cssSelector: label[for='terms-of-use']
18:00:51.575 INFO  manager.ListenerWD - Before find element By.xpath: //*[@type='submit']
18:00:51.608 INFO  manager.ListenerWD - Element found success By.xpath: //*[@type='submit']
18:00:51.608 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (90dcc1a7fec8b1f671efb3f8ff07763c)] -> xpath: //*[@type='submit']]
18:00:51.692 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (90dcc1a7fec8b1f671efb3f8ff07763c)] -> xpath: //*[@type='submit']]
18:00:51.693 INFO  manager.ListenerWD - Before find element By.cssSelector: .dialog-container>h2
18:00:54.451 INFO  manager.ListenerWD - Element found success By.cssSelector: .dialog-container>h2
18:00:54.479 INFO  manager.ListenerWD - get text from the element with text: You are logged in success
18:00:54.519 INFO  manager.ListenerWD - got the text successful: You are logged in success
18:00:54.524 INFO  tests.TestBase - assert get message 'You are logged in success'
18:00:54.529 INFO  manager.ListenerWD - Before find element By.xpath: //button[text()='Ok']
18:00:54.559 INFO  manager.ListenerWD - Element found success By.xpath: //button[text()='Ok']
18:00:54.559 INFO  manager.ListenerWD - Before find element By.xpath: //button[text()='Ok']
18:00:54.614 INFO  manager.ListenerWD - Element found success By.xpath: //button[text()='Ok']
18:00:54.615 INFO  manager.ListenerWD - start method click [[ChromeDriver: chrome on WINDOWS (90dcc1a7fec8b1f671efb3f8ff07763c)] -> xpath: //button[text()='Ok']]
18:00:54.708 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (90dcc1a7fec8b1f671efb3f8ff07763c)] -> xpath: //button[text()='Ok']]
18:00:54.711 INFO  tests.TestBase - ======================================
18:00:54.717 INFO  manager.ListenerWD - Before find element By.xpath: //*[text()=' Logout ']
18:00:54.749 INFO  manager.ListenerWD - Element found success By.xpath: //*[text()=' Logout ']
18:00:54.750 INFO  manager.ListenerWD - Before find element By.xpath: //*[text()=' Logout ']
18:00:54.785 INFO  manager.ListenerWD - Element found success By.xpath: //*[text()=' Logout ']
